Scientific name,Common name,Remark
Mustelus mustelus,Smooth-hound ,
Myoxocephalus scorpius,Bullrout,
Neogobius fluviatilis,Monkey goby,Invasive species.
Neogobius melanostomus,Round goby,Invasive species.
new species,,
Oncorhynchus gorbuscha,pink Salmon,Invasive species.
Oncorhynchus mykiss,Rainbow trout,found in the Elbe estuary
Osmerus eperlanus,Smelt,
Pagellus bogaraveo,Blackspotted seabream,"occurrence in the WS questionable, depth range 150 - 170 m
Are there records from the Danish and Dutch Wadden Sea?  
"
Parablennius gattorugine,Tompot blenny,"occurrence in the WS questionable
Are there records from the Danish and Dutch Wadden Sea?  
"
Perca fluviatilis,European perch,
Petromyzon marinus,Sea lamprey,
Pholis gunellus,Butterfish,
Platichthys flesus,Flounder,
Pleuronectes platessa,Plaice,
Pollachius pollachius,Pollack,
Pollachius virens,Saithe,
Pomatoschistus lozanoi,Lozano's goby,
Pomatoschistus microps,Common goby,
Pomatoschistus minutus,Sand goby,
Pomatoschistus pictus,Painted goby,
Ponticola kessleri,Kessler's goby,invasive species (currently only known from the Rhine)
Proterorhinus semilunaris,Western tubenose goby,invasive species
Pungitius pungitius,Ninespine stickleback,
Raja brachyura,Blonde ray,"occurrence in the WS questionable, according to the Shire Report, this species is classified as absent, I once caught one offshore (central/northern North Sea).
"
Raja clavata ,Thornback,
Raja montagui,Spotted ray,"occurrence in the WS questionable, according to the Shire Report and the QSR no records in the Wadden Sea"
Raniceps raninus,Tadpole fish,
Rhodeus amarus,European bitterling,
Rutilus rutilus,Roach,
Salmo salar,Salmon,
Salmo trutta,Sea trout,
Sander lucioperca,Pike perch,
Sardina pilchardus,Pilchard,
Scardinius erythrophthalmus,Common rudd,
Scomber scombrus,Mackerel,
Scophthalmus maximus,Turbot,
Scophthalmus rhombus,Brill,
Scyliorhinus canicula,Lesser spotted dogfish,
Scyliorhinus stellaris,Nursehound,"occurrence in the WS questionable, according to the Shire Report and the QSR no records in the Wadden Sea"
Silurus glanis,Wels catfish,
Solea solea,Sole,
Sparus aurata,Gilthead seabream,"occurrence in the WS questionable
Are there records from the Danish and Dutch Wadden Sea?  
"
Spinachia spinachia,Sea stickleback,
Spondyliosoma cantharus,Black seabream,"occurrence in the WS questionable. Are there records from the Dutch Wadden Sea?
"
Sprattus sprattus,Sprat,
Squalius cephalus,Common chub,?
Squalus acanthias,Spiny dogfish,SHIRE Report
Squatina squatina,Angel shark,"established species in the  North Sea according to the new German Red List of marine fishes (in prep.),
recorded in the Wadden Sea according to the QSR, "
Symphodus melops,Corkwing,
Syngnathus acus,Great pipefish,
Syngnathus rostellatus,Nilsson's pipefish,
Syngnathus typhle,broadnosed pipefish,SHIRE report
Taurulus bubalis,Long-spined sea scorpion,
Tinca tinca,Tench,
Trachinus draco,Greater weever,
Trachurus trachurus,Horse mackerel,
Trisopterus luscus,Bib,
Trisopterus minutus,Poor cod,
Zeugopterus norvegicus,Norwegian topknot,"occurrence in the WS questionable. Offhore species,
Are there records from the Dutch Wadden Sea?
"
Zoarces viviparus,Eelpout,
,,
,,
,,
,,
Phoca vitulina,,
Phocoena phocoena,,
Caretta caretta,,
Halichoerus grypus,,
Sousa teuszii,,
Balaenoptera borealis,,
Balaenoptera physalus,,
Homarus gammarus,European Lobster,although benthos but still an important species  :-)
