0,1,2,3,4,5
"Conger conger Linnaeus, 1758",,,,,
"Gnathophis mystax (Delaroche, 1809)",,,,,
"Coryphaena hippurus_ Linnaeus, 1758",,,,,
"Aphanius fasciatus (Valenciennes, 1821)",,,,,
"Dactylopterus volitans Linnaeus, 1758",,,,,
"Dasyatis marmorata (Steindachner,",,1892),,,
"Dasyatis centroura (Mitchill, 1815)",,,,,
"Dasyatis pastinaca (Linnaeus, 1758)",,,,,
"Echeneis naucrates Linnaeus, 1758",,,,,
"Remora remora (Linnaeus, 1758)",,,,,
"Engraulis encrasicolus (Linnaeus, 1758)",,,,,
"Cheilopogon heterurus (Rafinesque,",,1810),,,
"Exocoetus volitans Linnaeus, 1758",,,,,
"Hirundichthys rondeletii (Valenciennes,",,1847),,,
"Gaidropsarus mediterraneus (Linnaeus,",,1758),,,
"Gaidropsarus vulgaris (Cloquet, 1824)",,,,,
"Merlangius merlangus (Linnaeus, 1758)",,,,,
"Micromesistius poutassou (Risso, 1827)",,,,,
"Phycis blennoides (Briinnich, 1768)",,,,,
"Phycis phycis (Linnaeus, 1766)",,,,,
"Trisopterus luscus (Linnaeus, 1758)",,,,,
"Apletodon dentatus (Facciola, 1887)",,,,,
"Apletodon incognitus Hofrichter & Patzner,",,,1997,,
"Diplecogaster bimaculata_ (Bonnaterre,",,1788),,,
"Gouania willdenowi (Risso, 1810)",,,,,
"Lepadogaster candolei Risso, 1810",,,,,
"Lepadogaster lepadogaster (Bonnaterre,",,1788),,,
"Opeatogenys gracilis (Canestrini, 1864)",,,,,
"Aphia minuta (Risso, 1810)",,,,,
"Buenia affinis jin, 1930",,,,,
"Chromogobius quadrivittatus (Steindachner,",,,1863),,
"Chromogobius zebratus (Kolombatovic,",,1891),,,
"Corcyrogobius liechtensteini_ (Kolombatovic,",,,1891),,
"Deltentosteus colonianus (Risso, 1820)",,,,,
"Deltentosteus quadrimaculatus (Valenciennes,",,,1837),,
"Didogobius schlieweni Miller, 1992",,,,,
"Didogobius splechtnai_ Ahnelt & Patzner,",,1995,,,
"Gammogobius steinitzi Bath, 1971",,,,,
"Gobius arenae Bath, 1972",,,,,
"Gobius ater Belloti, 1888",,,,,
"Gobius auratus Risso, 1810",,,,,
"Gobius bucchichi Steindachner, 1870",,,,,
"Gobius cobitis Pallas, 1814",,,,,
"Gobius cruentatus Gmelin, 1789",,,,,
"Gobius fallax Sarato, 1889",,,,,
"Gobius geniporus Valenciennes, 1837",,,,,
"Gobius kolombatovici Kovacic & Miller, 2000",,,,,
"Gobius niger Linnaeus, 1758",,,,,
"Gobius paganellus Linnaeus, 1758",,,,,
"Gobius roulei De Buen, 1928",,,,,
"Gobius vittatus Vinciguerra, 1883",,,,,
"Gobius xanthocephalus Heymer & Zander,",,,1992,,
"Gobiusculus flavescens (Fabricius, 1779)",Unnamed: 1,Unnamed: 2,,,
"Lesueurigobius friesii (Malm, 1874)",,,,,
"Lesueurigobius sanzoi (De Buen, 1818)",,,,,
"Lesueurigobius suerii (Risso, 1810)",,,,,
"Millerigobius macrocephalus (Kolombatovic,",1891),,,,
"Odondebuenia balearica (Pellegrin & Fage,",1907),,,,
"Pomatoschistus bathi Miller, 1982",,,,,
"Pomatoschistus knerii (Steindachner, 1861)",,,,,
"Pomatoschistus marmoratus (Risso, 1810)",,,,,
"Pomatoschistus minutus (Pallas, 1770)",,,,,
"Pomatoschistus pictus (Malm, 1865)",,,,,
"Pomatoschistus quagga (Heckel, 1837)",,,,,
"Pseudaphya ferreri (De Buen & Fage, 1908)",,,,,
"Speleogobius trigloides Zander & Jelinek,",1976,,,,
"Thorogobius ephippiatus (Lowe, 1839)",,,,,
"Thorogobius macrolepis (Kolombatovic,",1891),,,,
"Vanneaugobius dollfusi Brownell, 1978",,,,,
"Vanneaugobius pruvoti (Fage, 1907)",,,,,
"Zebrus zebrus (Risso, 1827)",,,,,
"Zosterisessor ophiocephalus (Pallas, 1814)",,,,,
"Pomadasys incisus (Bowdich, 1825)",,,,,
"Heptranchias perlo (Bonnaterre, 1788)",,,,,
"Hexanchus griseus (Bonnaterre, 1788)",,,,,
"Tetrapturus albidus Poey, 1860",,,,,
"Tetrapturus belone Rafinesque, 1810",,,,,
"Acantholabrus palloni (Risso, 1810)",,,,,
"Coris julis (Linnaeus, 1758)",,,,,
"Ctenolabrus rupestris (Linnaeus, 1758)",,,,,
"Labrus merula Linnaeus, 1758",,,,,
"Labrus mixtus Linnaeus, 1758",,,,,
"Labrus viridis Linnaeus, 1758",,,,,
"Lappanella fasciata (Cocco, 1833)",,,,,
"Symphodus cinereus (Bonnaterre, 1788)",,,,,
"Symphodus doderleini Jordan, 1890",,,,,
"Symphodus mediterraneus 1758) cal(Linnaeus,",,,,,
"Symphodus melanocercus (Risso, 1810)",,,,,
"Symphodus melops (Linnaeus, 1758)",,,,,
"Symphodus ocellatus (Forsskal, 1775)",,,,,
"Symphodus roissali (Risso, 1810)",,,,,
"Symphodus rostratus (Bloch, 1791)",,,,,
"Symphodus tinca (Linnaeus, 1758)",,,,,
"Thalassoma pavo (Linnaeus, 1758)",,,,,
"Xyrichthys novacula (Linnaeus, 1758)",,,,,
"Carcharodon carcharias Linnaeus, 1758",,,,,
"Isurus oxyrinchus Rafinesque, 1810",,,,,
"Lamna nasus (Bonnaterre, 1788)",,,,,
"Lampris guttatus (~B~r iKinniKch,mK1788)",,,,,
"Lobotes surinamensis (Bloch, 1790)",,,,,
pe an KKmK,,,,,
"Lophius piscatorius Linnaeus, 1758",,,,,
"Macroramphosus scolopax (Linnaeus, 1758)",,,,,
am KKmK,,,,,
"Merluccius merluccius (Linnaeus, 1758)",,,,,
"Mobula mobular (Bonnaterre, 1788)",,,,,
"Mola mola (Linnaeus, 1758)",,,,,
"Dicentrarchus labrax (Linnaeus, 1758)",,,,,
"Dicentrarchus punctatus (Bloch, 1792)",,,,,
"Chelon labrosus Risso, 1827",,,,,
"Liza aurata (Risso, 1810)",,,,,
"Liza ramado (Risso, 1810)",,,,,
"Mugil cephalus Linnaeus, 1758",,,,,
"Oedalechilus labeo Cuvier, 1829",,,,,
"Mullus barbatus (Linnaeus, 1758)",,,,,
"Mullus surmuletus Linnaeus, 1758",,,,,
"Gymnothorax unicolor (Delaroche, 1809)",,,,,
"Muraena helena Linnaeus, 1758",,,,,
"Myliobatis aquila (Linnaeus, 1758)",,,,,
"Pteromylaeus bovinus (Geoffroy Saint-Hilaire,",,1817),,,
"Nettastoma melanurum_Rafinesque, 1810",,,,,
"Psenes pellucidus Liitken, 1880",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,
"Carcharias taurus Rafinesque,",1810,,,,
"Echelus myrus Linnaeus, 1758",,,,,
"Ophisurus serpens (Linnaeus,",1758),,,,
"Ophidion barbatum Linnaeus,",1758,,,,
"Ophidion rochei Miiller, 1845",,,,,
"Parophidion vassali (Risso, 1810)",,,,,
"Oxynotus centrina (Linnaeus, 1758)",,,,,
"Peristedion cataphractum (Linnaeus,",,,1758),,
"Petromyzon marinus Linnaeus,",1758,,,,
"Platichthys flesus (Linnaeus, 1758)",,,,,
"Pleuronectes platessa Linnaeus,",1758,,,,
"Chromis chromis Linnaeus, 1758",,,,,
"Pomatomus saltatrix Linnaeus,",1766,,,,
"Pristis pectinata Latham, 1794",,,,,
"Pristis pristis (Linnaeus, 1758)",,,,,
"Dipturus batis (Linnaeus, 1758)",,,,,
"Dipturus oxyrinchus (Linnaeus,",1758),,,,
"Leucoraja melitensis (Clark, 1926)",,,,,
"Leucoraja naevus (Miiller & Henle,",,,1841),,
"Raja asterias Delaroche, 1809",,,,,
"Raja brachyura Lafont, 1873",,,,,
"Raja clavata Linnaeus, 1758",,,,,
"Raja miraletus Linnaeus, 1758",,,,,
"Raja montagui Fowler, 1910",,,,,
"Raja radula_ Delaroche, 1809",,,,,
"Raja undulata Lacépéde, 1802",,,,,
"Rostroraja alba (Lacépéde, 1803)",,,,,
"Regalecus glesne Ascanius, 1772",,,,,
"Rhinobatos rhinobatos (Linnaeus,",1758),,,,
"Sparisoma cretense (Linnaeus,",1758),,,,
"Sciaena umbra_ Linnaeus, 1758",,,,,
"Umbrina canariensis Valenciennes,",,,1843,,
"Umbrina cirrosa (Linnaeus, 1758)",,,,,
"Scomberesox saurus (Walbaum,",1792),,,,
"Auxis rochei (Risso, 1810)",,,,,
"Euthynnus alletteratus (Rafinesque,",,,1810),,
"Katsuwonus pelamis (Linnaeus,",1758),,,,
"Sarda sarda (Bloch, 1793)",,,,,
"Scomber japonicus Houttuyn, 1782",,,,,
"Scomber scombrus Linnaeus, 1758",,,,,
"Thunnus alalunga (Bonnaterre,",1788),,,,
"Thunnus thynnus (Linnaeus, 1758)",,,,,
"Psetta maxima (Linnaeus, 1758)",,,,,
"Scophthalmus rhombus (Linnaeus,",1758),,,,
"Zeugopterus regius (Bonnaterre,",1788),,,,
Helicolenus dactylopterus (Delaroche,,,1809),,
"Scorpaena maderensis Valenciennes,",,,1833,,
"Scorpaena notata Rafinesque,",1810,,,,
"Scorpaena porcus Linnaeus, 1758",,,,,
"Scorpaena scrofa Linnaeus, 1758",,,,,
"Galeus melastomus Rafinesque,",1810,,,,
"Scyliorhinus canicula (Linnaeus,",1758),,,,
"Scyliorhinus stellaris (Linnaeus,",1758),,,,
"Anthias anthias (Linnaeus, 1758)",,,,,
"Callanthias ruber Rafinesque,",1810,,,,
Epinephelus aeneus (Geoffroy,"Saint-Hilaire,",,,1817),
"Epinephelus caninus (Valenciennes,",,,1843),,
"Epinephelus costae (Steindachner,",1878),,,,
"Epinephelus marginatus (Lowe,",1834),,,,
"Mycteroperca rubra (Bloch, 1793)",,,,,
"Polyprion americanus Bloch & Schneider,",,,,1801,
"Serranus atricauda_ Giinther, 1874",,,,,
"Serranus cabrilla (Linnaeus, 1758)",Unnamed: 1,Unnamed: 2,Unnamed: 3,,
"Serranus hepatus (Linnaeus, 1758)",,,,,
"Serranus scriba (Linnaeus, 1758)",,,,,
"Dicologlossa cuneata (Moreau, 1881)",,,,,
"Microchirus ocellatus (Linnaeus, 1758)",,,,,
"Monochirus hispidus Rafinesque, 1814",,,,,
"Pegusa lascaris (Risso, 1810)",,,,,
"Solea solea (Linnaeus, 1758)",,,,,
"Synapturichthys kleinii (Risso, 1827)",,,,,
"Boops boops (Linnaeus, 1758)",,,,,
"Dentex dentex (Linnaeus, 1758)",,,,,
"Dentex gibbosus (Rafinesque, 1810)",,,,,
"Diplodus annularis (Linnaeus, 1758)",,,,,
"Diplodus cervinus (Lowe, 1838)",,,,,
"Diplodus puntazzo (Cetti, 1777)",,,,,
"Diplodus sargus (Linnaeus, 1758)",,,,,
"Diplodus vulgaris (Geoffroy Saint-Hilaire,",,1817),,,
"Lithognathus mormyrus (Linnaeus,",1758),,,,
"Oblada melanura (Linnaeus, 1758)",,,,,
"Pagellus acarne (Risso, 1827)",,,,,
"Pagellus bogaraveo (Briinnich, 1768)",,,,,
"Pagellus erythrinus (Linnaeus, 1758)",,,,,
"Pagrus auriga (Valenciennes, 1843)",,,,,
"Pagrus caeruleostictus (Valenciennes,",1830),,,,
"Pagrus pagrus (Linnaeus, 1758)",,,,,
"Sarpa salpa (Linnaeus, 1758)",,,,,
"Sparus aurata Linnaeus, 1758",,,,,
"Spondyliosoma cantharus (Linnaeus,",1758),,,,
"Sphyraena sphyraena (Linnaeus, 1758)",,,,,
"Sphyraena viridensis Cuvier, 1829",,,,,
"Sphyrna lewini (Griffith & Smith, 1834)",,,,,
"Sphyrna zygaena (Linnaeus, 1758)",,,,,
"Squalus acanthias Linnaeus, 1758",,,,,
"Squalus blainvillei_ (Risso, 1827)",,,,,
"Squatina oculata Bonaparte, 1840",,,,,
"Squatina squatina (Linnaeus, 1758)",,,,,
"Maurolicus muelleri (Gmelin, 1789)",,,,,
"Hippocampus guttulatus Cuvier, 1829",,,,,
"Hippocampus hippocampus (Linnaeus,",,1758),,,
"Nerophis maculatus Rafinesque, 1810",,,,,
"Nerophis ophidion (Linnaeus, 1758)",,,,,
"Syngnathus abaster Risso, 1827",,,,,
"Syngnathus acus Linnaeus, 1758",,,,,
"Syngnathus taenionotus Canestrini,",1871,,,,
"Syngnathus tenuirostris Rathke, 1837",,,,,
"Syngnathus typhle Linnaeus, 1758",,,,,
"Synodus saurus (Linnaeus, 1758)",,,,,
"Torpedo marmorata Risso, 1810",,,,,
"Torpedo nobiliana_ Bonaparte, 1835",,,,,
"Torpedo torpedo (Linnaeus, 1758)",,,,,
"Echiichthys vipera Cuvier, 1829",,,,,
"Trachinus araneus Cuvier, 1829",,,,,
"Trachinus draco Linnaeus, 1758",,,,,
"Trachinus radiatus Cuvier, 1829",,,,,
"Trachipterus trachypterus (Gmelin,",1789),,,,
"Zu cristatus (Bonelli, 1819)",,,,,
"Galeorhinus galeus Linnaeus, 1758",,,,,
"Mustelus asterias Cloquet, 1821",,,,,
"Mustelus mustelus (Linnaeus, 1758)",,,,,
"Mustelus punctulatus Risso, 1827",,,,,
"Lepidopus caudatus (Euphrasen, 1788)",,,,,
"Aspitrigla cuculus (Linnaeus, 1758)",,,,,
"Chelidonichthys lastoviza (Bonnaterre,",,1788),,,
"Chelidonichthys lucernus (Linnaeus,",1758),,,,
"Chelidonichthys obscurus (Bloch & Schneider,",,,1801),,
"Eutrigla gurnardus (Linnaeus, 1758)",,,,,
"Lepidotrigla cavillone (Lacépéde, 1801)",,,,,
"Trigla lyra_ Linnaeus, 1758",,,,,
Tripterygion delaisi,Cadenat & Blache,1971,,,
Tripterygion melanurus,Guichenot,", 1845",,,
Tripterygion tripteronotus,"(Risso,",1810),,,
Uranoscopus scaber,"Linnaeus,",1758,,,
"Xiphias gladius Linnaeus,",1758,,,,
"Zeus faber Linnaeus,",1758,,,,
